AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,BUILD_YEAR,SALE_YEAR,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Others
4,6.911747300251674,1.0,1.0,3,0,1,0,2,0,7600000,1967,2011,1,0,0
1,7.593877844605118,2.0,1.0,5,0,0,0,0,3,21717770,1995,2006,1,0,0
0,6.812345094177479,1.0,1.0,3,0,1,1,0,4,13159200,1992,2012,1,0,0
6,7.5256399750415355,3.0,2.0,5,2,0,3,2,2,9630290,1988,2010,0,0,1
4,7.111512116496157,1.0,1.0,3,0,1,0,0,1,7406250,1979,2009,0,0,1
2,7.106606137727303,2.0,1.0,4,5,0,2,1,3,12394750,2009,2014,1,0,0
2,7.062191632286556,1.0,1.0,3,5,0,0,1,4,8488790,1979,2007,0,0,1
6,7.52131798019924,3.0,2.0,5,2,0,0,0,5,16800250,1996,2006,1,0,0
2,6.647688373563329,1.0,1.0,2,1,0,3,2,5,8308970,1977,2011,0,0,1
6,7.399398083331354,2.0,1.0,4,0,0,1,1,2,8083650,1991,2006,0,0,1
2,7.0925737159746784,2.0,1.0,4,1,1,0,1,5,14938000,1978,2006,1,0,0
2,6.960347729101308,1.0,1.0,3,5,0,3,0,5,9449730,1972,2009,0,0,1
2,7.086737934510577,1.0,1.0,3,2,0,3,1,4,8774370,1991,2010,0,0,1
0,6.962243464266207,1.0,1.0,3,5,1,3,2,3,9386490,1981,2007,0,0,1
6,7.5310163320779155,3.0,2.0,5,2,0,3,2,5,15499680,1956,2010,1,0,0
6,7.532623618788788,3.0,2.0,5,2,0,3,0,3,15714080,2000,2009,1,0,0
4,7.40184157874383,2.0,2.0,4,3,1,1,0,2,8656000,1991,2009,0,1,0
2,6.679599185844383,1.0,1.0,2,1,1,0,1,4,10912550,1975,2011,1,0,0
0,7.035268599281097,1.0,1.0,3,3,1,0,2,0,8287550,1978,2008,0,0,1
1,7.550661243105336,2.0,1.0,5,2,1,1,2,4,21203240,1970,2012,1,0,0
2,6.974478911025045,1.0,1.0,3,0,1,3,2,5,10905530,2009,2013,0,0,1
2,6.836259277277067,1.0,1.0,3,0,1,1,2,4,9185970,1986,2008,0,0,1
3,7.605890001053122,3.0,2.0,5,5,0,3,0,3,10925400,1999,2009,0,0,1
2,6.97914527506881,1.0,1.0,3,0,0,3,0,4,9627380,1994,2010,0,0,1
